iter	Passed	Remaining
346	697	1312
347	699	1310
348	701	1309
349	703	1306
350	705	1304
351	707	1302
352	709	1300
353	711	1298
354	713	1296
355	715	1294
356	717	1292
357	719	1289
358	721	1287
359	723	1285
360	725	1283
361	727	1281
362	729	1279
363	730	1277
364	732	1275
365	734	1272
366	736	1270
367	738	1268
368	740	1266
369	742	1264
370	744	1262
371	746	1260
372	748	1257
373	750	1255
374	752	1253
375	754	1251
376	756	1249
377	757	1247
378	759	1244
379	761	1242
380	763	1240
381	765	1238
382	767	1236
383	769	1234
384	771	1232
385	773	1230
386	775	1229
387	778	1227
388	780	1225
389	782	1223
390	783	1220
391	786	1219
392	788	1218
393	790	1216
394	792	1214
395	794	1212
396	797	1210
397	799	1209
398	801	1207
399	803	1205
400	805	1202
401	807	1200
402	809	1198
403	811	1196
404	812	1194
405	814	1192
406	816	1190
407	818	1188
408	820	1186
409	822	1183
410	824	1181
411	826	1179
412	828	1177
413	830	1175
414	832	1173
415	834	1171
416	836	1169
417	838	1167
418	840	1165
419	842	1163
420	844	1160
421	846	1158
422	848	1156
423	850	1154
424	852	1152
425	853	1150
426	855	1148
427	857	1146
428	859	1144
429	861	1142
430	863	1140
431	865	1138
432	867	1136
433	869	1134
434	871	1132
435	873	1130
436	876	1128
437	878	1126
438	880	1124
439	881	1122
440	884	1120
441	886	1118
442	888	1117
443	890	1115
444	892	1113
445	894	1111
446	896	1109
447	899	1107
448	901	1105
449	903	1103
450	905	1101
451	906	1099
452	908	1097
453	910	1095
454	912	1093
455	914	1091
456	916	1089
457	918	1087
458	920	1085
459	922	1083
460	924	1080
461	926	1078
462	928	1076
463	930	1074
464	932	1072
465	934	1070
466	936	1068
467	938	1066
468	940	1064
469	942	1062
470	944	1060
471	946	1058
472	948	1056
473	950	1054
474	952	1052
475	954	1050
476	956	1048
477	958	1046
478	960	1044
479	962	1042
480	964	1040
481	966	1038
482	967	1036
483	969	1034
484	972	1032
485	974	1030
486	976	1028
487	978	1026
488	980	1024
489	982	1022
490	984	1021
491	987	1019
492	989	1017
493	991	1015
494	993	1013
495	995	1011
496	997	1009
497	999	1007
498	1001	1005
499	1003	1003
500	1005	1001
501	1007	999
502	1009	997
503	1011	995
504	1013	993
505	1015	991
506	1017	989
507	1019	987
508	1021	985
509	1023	983
510	1025	981
511	1027	979
512	1029	976
513	1031	975
514	1033	972
515	1035	970
516	1036	968
517	1038	966
518	1040	964
519	1042	962
520	1044	960
521	1046	958
522	1048	956
523	1050	954
524	1052	952
525	1054	950
526	1056	947
527	1058	945
528	1060	943
529	1061	941
530	1063	939
531	1065	937
532	1067	935
533	1070	933
534	1072	931
535	1074	930
536	1076	928
537	1078	925
538	1080	923
539	1082	921
540	1083	919
541	1085	917
542	1087	915
543	1089	913
544	1091	911
545	1093	909
546	1095	907
547	1097	905
548	1099	903
549	1101	901
550	1103	898
551	1105	896
552	1106	894
553	1108	892
554	1110	890
555	1112	888
556	1114	886
557	1116	884
558	1118	882
559	1120	880
560	1122	878
561	1124	876
562	1126	874
563	1128	872
564	1130	870
565	1132	868
566	1134	866
567	1136	864
568	1138	862
569	1140	860
570	1142	858
571	1144	856
572	1146	854
573	1148	852
574	1150	850
575	1152	848
576	1154	846
577	1156	844
578	1158	842
579	1159	839
580	1161	837
581	1163	835
582	1165	833
583	1167	831
584	1169	829
585	1171	827
586	1173	825
587	1175	823
588	1177	821
589	1179	819
590	1181	817
591	1183	815
592	1185	813
593	1187	811
594	1189	809
595	1191	807
596	1193	805
597	1195	803
598	1196	801
599	1198	799
600	1200	797
601	1202	795
602	1204	793
603	1206	791
604	1208	789
605	1210	787
606	1212	785
607	1214	783
608	1216	781
609	1218	779
610	1220	777
611	1222	775
612	1224	773
613	1226	771
614	1228	769
615	1230	767
616	1232	765
617	1234	763
618	1236	761
619	1238	758
620	1240	756
621	1242	754
622	1244	752
623	1246	750
624	1248	748
625	1249	746
626	1251	744
627	1253	742
628	1255	740
629	1257	738
630	1259	736
631	1261	734
632	1263	732
633	1265	730
634	1267	728
635	1269	726
636	1271	724
637	1273	722
638	1275	720
639	1277	718
640	1278	716
641	1280	714
642	1282	712
643	1284	710
644	1286	708
645	1288	706
646	1290	704
647	1292	702
648	1294	700
649	1296	698
650	1298	695
651	1300	693
652	1302	691
653	1303	689
654	1305	687
655	1307	685
656	1309	683
657	1311	681
658	1313	679
659	1315	677
660	1317	675
661	1319	673
662	1321	671
663	1323	669
664	1325	667
665	1327	665
666	1329	663
667	1331	661
668	1334	660
669	1336	658
670	1338	656
671	1341	654
672	1343	652
673	1345	650
674	1347	648
675	1349	646
676	1351	644
677	1353	642
678	1355	640
679	1357	638
680	1358	636
681	1360	634
682	1362	632
683	1364	630
684	1366	628
685	1368	626
686	1370	624
687	1372	622
688	1374	620
689	1376	618
690	1378	616
691	1380	614
692	1382	612
693	1384	610
694	1386	608
695	1388	606
696	1390	604
697	1392	602
698	1394	600
699	1395	598
700	1397	596
701	1399	594
702	1401	592
703	1403	590
704	1405	588
705	1407	586
706	1409	584
707	1411	582
708	1413	580
709	1415	578
710	1417	576
711	1419	574
712	1421	571
713	1423	570
714	1424	567
715	1426	565
716	1428	563
717	1430	561
718	1432	559
719	1434	557
720	1436	555
721	1438	553
722	1440	551
723	1442	549
724	1444	547
725	1446	545
726	1448	544
727	1450	542
728	1452	539
729	1454	538
730	1456	536
731	1458	534
732	1460	532
733	1462	529
734	1464	527
735	1466	525
736	1468	524
737	1470	522
738	1472	520
739	1474	518
740	1476	516
741	1478	514
742	1480	512
743	1482	509
744	1484	507
745	1486	505
746	1488	503
747	1489	501
748	1491	499
749	1493	497
750	1495	495
751	1497	493
752	1499	491
753	1501	489
754	1503	487
755	1505	485
756	1507	483
757	1509	481
758	1511	479
759	1513	477
760	1515	475
761	1517	473
762	1519	471
763	1521	469
764	1523	467
765	1525	465
766	1527	463
767	1529	461
768	1531	459
769	1533	457
770	1534	455
771	1536	453
772	1538	451
773	1540	449
774	1542	447
775	1544	445
776	1546	443
777	1548	441
778	1550	439
779	1552	437
780	1554	435
781	1556	433
782	1558	431
783	1560	429
784	1562	427
785	1564	425
786	1566	423
787	1568	421
788	1570	419
789	1571	417
790	1573	415
791	1575	413
792	1577	411
793	1579	409
794	1581	407
795	1583	405
796	1585	403
797	1587	401
798	1589	399
799	1591	397
800	1593	395
801	1595	393
802	1597	391
803	1599	389
804	1601	387
805	1602	385
806	1604	383
807	1606	381
808	1608	379
809	1610	377
810	1612	375
811	1614	373
812	1616	371
813	1618	369
814	1620	367
815	1622	365
816	1624	363
817	1626	361
818	1628	359
819	1630	357
820	1632	355
821	1634	353
822	1636	351
823	1638	349
824	1640	347
825	1642	345
826	1644	343
827	1646	341
828	1648	339
829	1649	337
830	1651	335
831	1653	333
832	1655	331
833	1657	329
834	1659	327
835	1661	326
836	1663	324
837	1665	322
838	1667	320
839	1669	318
840	1671	316
841	1673	314
842	1675	312
843	1677	310
844	1679	308
845	1681	306
846	1683	304
847	1685	302
848	1687	300
849	1689	298
850	1691	296
851	1693	294
852	1695	292
853	1697	290
854	1699	288
855	1701	286
856	1703	284
857	1705	282
858	1706	280
859	1708	278
860	1710	276
861	1712	274
862	1714	272
863	1716	270
864	1718	268
865	1721	266
866	1723	264
867	1725	262
868	1727	260
869	1730	258
870	1732	256
871	1734	254
872	1736	252
873	1738	250
874	1740	248
875	1742	246
876	1744	244
877	1746	242
878	1748	240
879	1750	238
880	1752	236
881	1754	234
882	1756	232
883	1758	230
884	1760	228
885	1762	226
886	1764	224
887	1765	222
888	1767	220
889	1769	218
890	1771	216
891	1773	214
892	1775	212
893	1777	210
894	1779	208
895	1781	206
896	1783	204
897	1784	202
898	1786	200
899	1788	198
900	1790	196
901	1792	194
902	1794	192
903	1796	190
904	1798	188
905	1800	186
906	1802	184
907	1804	182
908	1806	180
909	1808	178
910	1810	176
911	1812	174
912	1814	172
913	1816	170
914	1817	168
915	1819	166
916	1821	164
917	1823	162
918	1825	160
919	1827	158
920	1829	156
921	1831	154
922	1833	152
923	1835	150
924	1837	148
925	1839	146
926	1841	145
927	1843	143
928	1845	141
929	1847	139
930	1849	137
931	1851	135
932	1853	133
933	1855	131
934	1857	129
935	1859	127
936	1861	125
937	1863	123
938	1865	121
939	1866	119
940	1868	117
941	1870	115
942	1872	113
943	1874	111
944	1876	109
945	1878	107
946	1880	105
947	1882	103
948	1884	101
949	1886	99
950	1888	97
951	1890	95
952	1892	93
953	1894	91
954	1896	89
955	1898	87
956	1900	85
957	1902	83
958	1904	81
959	1906	79
960	1908	77
961	1910	75
962	1912	73
963	1914	71
964	1916	69
965	1918	67
966	1920	65
967	1922	63
968	1924	61
969	1926	59
970	1928	57
971	1930	55
972	1932	53
973	1934	51
974	1936	49
975	1938	47
976	1940	45
977	1942	43
978	1944	41
979	1946	39
980	1948	37
981	1949	35
982	1952	33
983	1954	31
984	1956	29
985	1958	27
986	1960	25
987	1961	23
988	1963	21
989	1965	19
990	1967	17
991	1969	15
992	1971	13
993	1973	11
994	1975	9
995	1977	7
996	1979	5
997	1981	3
998	1983	1
999	1985	0
